Model,True_Category,Predicted_Category,Confidence,Match
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.92,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.98,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.99,1
openai/gpt-oss-120b:free,FINANCE,FINANCE,0.97,1
openai/gpt-oss-120b:free,HR,HR,0.98,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.98,1
openai/gpt-oss-120b:free,HR,HR,0.98,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.98,1
openai/gpt-oss-120b:free,HR,HR,0.96,1
openai/gpt-oss-120b:free,HR,HR,0.97,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.97,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.96,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.97,1
openai/gpt-oss-120b:free,HR,HR,0.99,1
openai/gpt-oss-120b:free,HR,HR,0.97,1
openai/gpt-oss-120b:free,HR,HR,0.97,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.95,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,HR,0.78,0
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.98,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.99,1
openai/gpt-oss-120b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.98,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,HR,0.32,0
openai/gpt-oss-120b:free,SALES,SALES,0.97,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.98,1
openai/gpt-oss-120b:free,SALES,ENGINEERING,0.92,0
openai/gpt-oss-120b:free,SALES,SALES,0.97,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.98,1
openai/gpt-oss-120b:free,SALES,SALES,0.95,1
openai/gpt-oss-120b:free,SALES,SALES,0.98,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.98,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
openai/gpt-oss-120b:free,SALES,SALES,0.98,1
openai/gpt-oss-120b:free,SALES,SALES,0.99,1
