Model,True_Category,Predicted_Category,Confidence,Match
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,FINANCE,FINANCE,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,HR,HR,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.92,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,HR,0.78,0
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,INFORMATION-TECHNOLOGY,0.38,0
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,ENGINEERING,0.87,0
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.94,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.92,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
nvidia/nemotron-3-nano-30b-a3b:free,SALES,SALES,0.96,1
